source_entity	source_field	current_authority	target_disposition	intended_owner	decision_status	notes
hr.employee	employee_id	dotmac_erp/hr.Employee	preserve UUID as employment record identity	asm-dotmac-erp/dotmac-people	resolved	Projected as source_id and preserved by the future idempotent bootstrap.
hr.employee	organization_id	dotmac_erp/hr.Employee	map organization scope to tenant scope	asm-dotmac-erp/dotmac-people	resolved	The composed module owns tenant-scoped employment rows.
hr.employee	person_id	dotmac_erp/hr.Employee	map to the employment record's Party reference	asm-dotmac-erp/dotmac-people	resolved	dotmac-people owns the employment-to-Party reference; kernel Party and PartyPerson separately own the referenced person record.
hr.employee	employee_code	dotmac_erp/hr.Employee	carry as employment-directory code	asm-dotmac-erp/dotmac-people	resolved	In the released employment-directory contract.
hr.employee	gender	dotmac_erp/hr.Employee	retain until typed personal-profile owner is approved	UNRESOLVED	unresolved	Not owned by dotmac-people; do not hide it in Party.custom_fields.
hr.employee	nationality	dotmac_erp/hr.Employee	retain until typed personal-profile owner is approved	UNRESOLVED	unresolved	Regulatory reporting use makes silent retirement unsafe.
hr.employee	date_of_birth	dotmac_erp/hr.Employee	retain until typed personal-profile owner is approved	UNRESOLVED	unresolved	Sensitive personal identity data; not owned by dotmac-people.
hr.employee	final_payroll_cutoff_date	dotmac_erp/hr.Employee	move to an explicitly named final-payroll policy record	UNRESOLVED	unresolved	Payroll is outside dotmac-people; the exact payroll owner/table is not approved.
hr.employee	personal_email	dotmac_erp/hr.Employee	retain until typed personal contact/profile owner is approved	UNRESOLVED	unresolved	Must not be conflated with the work email on Party.
hr.employee	dotmac_sub_account_id	dotmac_erp/hr.Employee	replace with a rebuildable integration correlation/projection	UNRESOLVED	unresolved	Sub identity is external application state; product integration owner and observation contract remain unnamed.
hr.employee	dotmac_sub_staff_synced_at	dotmac_erp/hr.Employee	replace with integration delivery/observation evidence	UNRESOLVED	unresolved	A sync timestamp is evidence, not employment-directory authority.
hr.employee	dotmac_sub_access_enabled	dotmac_erp/hr.Employee	move the access decision to a named entitlement/provisioning owner	UNRESOLVED	unresolved	A module flag must not become an authorization decision.
hr.employee	dotmac_sub_roles	dotmac_erp/hr.Employee	move role intent to a named authorization/provisioning owner	UNRESOLVED	unresolved	Roles and permissions are explicitly outside dotmac-people.
hr.employee	personal_phone	dotmac_erp/hr.Employee	retain until typed personal contact/profile owner is approved	UNRESOLVED	unresolved	Not owned by dotmac-people.
hr.employee	emergency_contact_name	dotmac_erp/hr.Employee	consolidate under an approved emergency-contact/dependant owner	UNRESOLVED	unresolved	Potential overlap with employee_dependants must be resolved before migration.
hr.employee	emergency_contact_phone	dotmac_erp/hr.Employee	consolidate under an approved emergency-contact/dependant owner	UNRESOLVED	unresolved	Potential overlap with employee_dependants must be resolved before migration.
hr.employee	marital_status	dotmac_erp/hr.Employee	retain until typed personal-profile/benefits owner is approved	UNRESOLVED	unresolved	Sensitive personal data outside dotmac-people.
hr.employee	blood_group	dotmac_erp/hr.Employee	retain until typed personal-profile/medical owner is approved	UNRESOLVED	unresolved	Sensitive personal data outside dotmac-people.
hr.employee	current_address	dotmac_erp/hr.Employee	retain until typed personal-contact/profile owner is approved	UNRESOLVED	unresolved	Do not migrate the JSON shape without a typed contract.
hr.employee	permanent_address	dotmac_erp/hr.Employee	retain until typed personal-contact/profile owner is approved	UNRESOLVED	unresolved	Do not migrate the JSON shape without a typed contract.
hr.employee	passport_number	dotmac_erp/hr.Employee	retain until typed identity-document owner is approved	UNRESOLVED	unresolved	Sensitive credential data; not owned by dotmac-people.
