module,doctype,insert_statements
"Banking/Treasury","Bank Transaction",18
"Banking/Treasury","Bank",1
"Banking/Treasury","Bank Account",1
"Banking/Treasury","Bank Names",1
"Banking/Treasury","Bank Statement Import",1
"Banking/Treasury","Payment Request",1
"Banking/Treasury","Unreconcile Payment",1
"Banking/Treasury","Unreconcile Payment Entries",1
"CRM","CRM Communication Status",1
"CRM","CRM Dashboard",1
"CRM","CRM Deal Status",1
"CRM","CRM Dropdown Item",1
"CRM","CRM Fields Layout",1
"CRM","CRM Form Script",1
"CRM","CRM Industry",1
"CRM","CRM Lead",1
"CRM","CRM Lead Source",1
"CRM","CRM Lead Status",1
"CRM","CRM Lost Reason",1
"CRM","CRM Note",1
"CRM","CRM Organization",1
"CRM","CRM Status Change Log",1
"CRM","CRM View Settings",1
"Documents/Files","Deleted Document",179
"Documents/Files","Communication Link",40
"Documents/Files","File",24
"Documents/Files","DocField",6
"Documents/Files","DocPerm",1
"Documents/Files","DocShare",1
"Documents/Files","DocType",1
"Documents/Files","DocType Action",1
"Documents/Files","DocType Link",1
"Documents/Files","DocType State",1
"Documents/Files","Document Share Key",1
"Finance-AP","Purchase Invoice Advance",1
"Finance-AP","Purchase Order",1
"Finance-AP","Purchase Order Item",1
"Finance-AP","Purchase Receipt",1
"Finance-AP","Purchase Receipt Item",1
"Finance-AP","Supplier Group",1
"Finance-AP","Supplier Scorecard Standing",1
"Finance-AP","Supplier Scorecard Variable",1
"Finance-AR","Sales Taxes and Charges",12
"Finance-AR","Payment Schedule",10
"Finance-AR","Quotation",2
"Finance-AR","Sales Invoice Advance",2
"Finance-AR","Sales Order",2
"Finance-AR","Advance Taxes and Charges",1
"Finance-AR","Customer Group",1
"Finance-AR","Quotation Item",1
"Finance-AR","Sales Order Item",1
"Finance-AR","Sales Taxes and Charges Template",1
"Finance-GL","GL Entry",110
"Finance-GL","Payment Ledger Entry",35
"Finance-GL","Bank Transaction Payments",10
"Finance-GL","Cost Center",1
"Finance-GL","Fiscal Year",1
"Finance-GL","Fiscal Year Company",1
"Finance-GL","Mode of Payment",1
"Finance-GL","Mode of Payment Account",1
"HR Core","Attendance Request",1
"HR Core","Branch",1
"HR Core","Branches",1
"HR Core","Department Approver",1
"HR Core","Designation Skill",1
"HR Core","Employee Boarding Activity",1
"HR Core","Employee Checkin",1
"HR Core","Employee Education",1
"HR Core","Employee External Work History",1
"HR Core","Employee Feedback Criteria",1
"HR Core","Employee Feedback Rating",1
"HR Core","Employee Onboarding Template",1
