import time: self [us] | cumulative | imported package
import time:       300 |        300 |   _io
import time:        38 |         38 |   marshal
import time:       411 |        411 |   posix
import time:       367 |       1115 | _frozen_importlib_external
import time:       147 |        147 |   time
import time:       121 |        267 | zipimport
import time:        73 |         73 |     _codecs
import time:       377 |        449 |   codecs
import time:       735 |        735 |   encodings.aliases
import time:       875 |       2058 | encodings
import time:       285 |        285 | encodings.utf_8
import time:       158 |        158 | _signal
import time:        33 |         33 |     _abc
import time:       114 |        146 |   abc
import time:       142 |        287 | io
import time:        44 |         44 |       _stat
import time:        70 |        114 |     stat
import time:       843 |        843 |     _collections_abc
import time:        51 |         51 |       genericpath
import time:        73 |        124 |     posixpath
import time:       387 |       1466 |   os
import time:        68 |         68 |   _sitebuiltins
import time:       303 |        303 |     __future__
import time:       252 |        252 |         itertools
import time:       173 |        173 |         keyword
import time:       118 |        118 |           _operator
import time:       328 |        445 |         operator
import time:       206 |        206 |         reprlib
import time:        68 |         68 |         _collections
import time:      1437 |       2579 |       collections
import time:       343 |        343 |         types
import time:        74 |         74 |         _functools
import time:       703 |       1118 |       functools
import time:       814 |       4510 |     contextlib
import time:      1308 |       6121 |   _virtualenv
import time:       324 |        324 |   _distutils_hack
import time:        84 |         84 |     apport_python_hook
import time:       194 |        277 |   sitecustomize
import time:      3002 |      11255 | site
import time:       539 |        539 |   app
import time:      1771 |       1771 |       enum
import time:        77 |         77 |         _sre
import time:       390 |        390 |           re._constants
import time:       481 |        871 |         re._parser
import time:       211 |        211 |         re._casefix
import time:       415 |       1572 |       re._compiler
import time:       191 |        191 |       copyreg
import time:       697 |       4229 |     re
import time:       203 |        203 |       collections.abc
import time:       201 |        201 |           token
import time:        55 |         55 |           _tokenize
import time:      1038 |       1292 |         tokenize
import time:       194 |       1486 |       linecache
import time:      1015 |       1015 |       textwrap
import time:       746 |       3448 |     traceback
import time:       370 |        370 |     warnings
import time:       352 |        352 |       _weakrefset
import time:      1574 |       1926 |     weakref
import time:        51 |         51 |       _string
import time:       688 |        739 |     string
import time:      1004 |       1004 |     threading
import time:       118 |        118 |     atexit
import time:      3324 |      15153 |   logging
import time:       369 |        369 |     fnmatch
import time:        98 |         98 |     errno
import time:       211 |        211 |       urllib
import time:       137 |        137 |       math
import time:      1827 |       1827 |       ipaddress
import time:      1561 |       3735 |     urllib.parse
import time:       110 |        110 |       _winapi
import time:        65 |         65 |       nt
import time:        53 |         53 |       nt
import time:        51 |         51 |       nt
import time:        56 |         56 |       nt
import time:       103 |        103 |       nt
import time:        71 |         71 |       nt
import time:       173 |        678 |     ntpath
import time:      1258 |       6136 |   pathlib
import time:       273 |        273 |         unittest.util
import time:       415 |        688 |       unittest.result
import time:        77 |         77 |             _heapq
import time:       204 |        281 |           heapq
import time:       716 |        996 |         difflib
import time:       311 |        311 |             copy
import time:      1255 |       1255 |                 _ast
import time:      1821 |       3075 |               ast
import time:        75 |         75 |                   _opcode
import time:       598 |        672 |                 opcode
import time:      1420 |       2091 |               dis
import time:       310 |        310 |                 importlib
import time:        98 |        408 |               importlib.machinery
import time:      2655 |       8227 |             inspect
import time:       726 |       9264 |           dataclasses
import time:       345 |       9608 |         pprint
import time:      2352 |      12955 |       unittest.case
import time:       540 |        540 |       unittest.suite
import time:       914 |        914 |       unittest.loader
import time:      1046 |       1046 |           gettext
import time:      1477 |       2522 |         argparse
import time:      1758 |       1758 |             signal
import time:       181 |       1938 |           unittest.signals
import time:       330 |       2268 |         unittest.runner
import time:       314 |       5103 |       unittest.main
import time:       331 |      20529 |     unittest
import time:       167 |        167 |           concurrent
import time:       772 |        772 |           concurrent.futures._base
import time:       277 |       1215 |         concurrent.futures
import time:       275 |        275 |           _socket
import time:       153 |        153 |             select
import time:       760 |        912 |           selectors
import time:       189 |        189 |           array
import time:      1813 |       3188 |         socket
import time:       195 |        195 |             _locale
import time:      6468 |       6663 |           locale
import time:        78 |         78 |           fcntl
import time:        94 |         94 |           msvcrt
import time:        30 |         30 |           _posixsubprocess
import time:      1258 |       8120 |         subprocess
import time:      2629 |       2629 |           _ssl
import time:        93 |         93 |               _struct
import time:       230 |        322 |             struct
import time:        70 |         70 |             binascii
import time:       562 |        953 |           base64
import time:      4163 |       7744 |         ssl
import time:       439 |        439 |         asyncio.constants
import time:       204 |        204 |         asyncio.coroutines
import time:       237 |        237 |             _contextvars
import time:       163 |        400 |           contextvars
import time:       152 |        152 |           asyncio.format_helpers
import time:       161 |        161 |             asyncio.base_futures
import time:       207 |        207 |             asyncio.exceptions
import time:       146 |        146 |             asyncio.base_tasks
import time:       423 |        935 |           _asyncio
import time:       699 |       2184 |         asyncio.events
import time:       302 |        302 |         asyncio.futures
import time:       211 |        211 |         asyncio.protocols
import time:       358 |        358 |           asyncio.transports
import time:       129 |        129 |           asyncio.log
import time:       791 |       1277 |         asyncio.sslproto
import time:        62 |         62 |             _typing
import time:      3510 |       3571 |           typing
import time:       163 |        163 |             asyncio.mixins
import time:       775 |        937 |           asyncio.locks
import time:       574 |        574 |             asyncio.timeouts
import time:       816 |       1390 |           asyncio.tasks
import time:       397 |       6293 |         asyncio.staggered
import time:       221 |        221 |         asyncio.trsock
import time:      1450 |      32843 |       asyncio.base_events
import time:       319 |        319 |       asyncio.runners
import time:       361 |        361 |       asyncio.queues
import time:       451 |        451 |       asyncio.streams
import time:       253 |        253 |       asyncio.subprocess
import time:       281 |        281 |       asyncio.taskgroups
import time:       157 |        157 |       asyncio.threads
import time:       304 |        304 |         asyncio.base_subprocess
import time:      2223 |       2223 |         asyncio.selector_events
import time:       969 |       3495 |       asyncio.unix_events
import time:       371 |      38527 |     asyncio
import time:       218 |        218 |         importlib._abc
import time:       130 |        347 |       importlib.util
import time:       577 |        924 |     pkgutil
import time:      2118 |      62097 |   unittest.mock
import time:       176 |        176 |     starlette
import time:       256 |        256 |     starlette.status
import time:       219 |        219 |           email
import time:       340 |        340 |           quopri
import time:        55 |         55 |                 _bisect
import time:       145 |        199 |               bisect
import time:        44 |         44 |               _random
import time:        49 |         49 |               _sha2
import time:       489 |        780 |             random
import time:       167 |        167 |               _datetime
import time:       186 |        352 |             datetime
import time:      1076 |       1076 |               calendar
import time:       315 |       1390 |             email._parseaddr
import time:       152 |        152 |               email.base64mime
import time:       245 |        245 |               email.quoprimime
import time:      1082 |       1082 |               email.errors
import time:       159 |        159 |               email.encoders
import time:       270 |       1907 |             email.charset
import time:      1161 |       5587 |           email.utils
import time:       898 |        898 |             email.header
import time:       352 |       1249 |           email._policybase
import time:       317 |        317 |           email._encoded_words
import time:       170 |        170 |           email.iterators
import time:       704 |       8584 |         email.message
import time:       431 |        431 |               _json
import time:       322 |        752 |             json.scanner
import time:       435 |       1187 |           json.decoder
import time:       425 |        425 |           json.encoder
import time:       334 |       1945 |         json
import time:       180 |        180 |             fastapi.openapi
import time:       301 |        301 |                     pydantic.version
