asset_number,asset_name,category_name,location_name,serial_number,quantity,acquisition_cost,accumulated_depreciation,net_book_value,useful_life_months,remaining_life_months,residual_value,acquisition_date,depreciation_start_date,assumption_note
Dotmac/OE/Dt001,All in One Desktop,ICT Equipment,Head Office.,8CC9491MCH,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt002,All in One Desktop,ICT Equipment,Head Office.,8CC9491MCM,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt003,All in One Desktop,ICT Equipment,Head Office.,YJ01AQW6,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt004,All in One Desktop,ICT Equipment,Head Office.,8CC9491MCD,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt005,All in One Desktop,ICT Equipment,Head Office.,8CC9491M9W,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt006,All in One Desktop,ICT Equipment,Head Office.,SCC9491MBF,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt007,All in One Desktop,ICT Equipment,Head Office.,J00QR8Z,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt008,All in One Desktop,ICT Equipment,Head Office.,8CC2251GVQ,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt009,All in One Desktop,ICT Equipment,Head Office.,8CC9491M90,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt010,All in One Desktop,ICT Equipment,Head Office.,8CC85010KF,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt011,All in One Desktop,ICT Equipment,Head Office.,8CC8352DPW,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt012,All in One Desktop,ICT Equipment,Head Office.,YJ018VJ1,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt013,All in One Desktop,ICT Equipment,Head Office.,8CC2251GTL,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt014,All in One Desktop,ICT Equipment,Head Office.,8CC2251GTW,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt015,All in One Desktop,ICT Equipment,Head Office.,8CC9491MBN,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt016,All in One Desktop,ICT Equipment,Head Office.,8CC9491MBB,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt017,All in One Desktop,ICT Equipment,Head Office.,YJ01AWVC,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt018,All in One Desktop,ICT Equipment,Head Office.,8CC2251GST,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt019,All in One Desktop,ICT Equipment,Head Office.,8CC20814TK,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt020,All in One Desktop,ICT Equipment,Head Office.,8CC2251GTS,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt021,All in One Desktop,ICT Equipment,Head Office.,8CC841051K,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Dt022,All in One Desktop,ICT Equipment,Head Office.,8CC84415QT,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
Dotmac/OE/Lt001,Laptop,ICT Equipment,Head Office.,5CC1131CXX,1,0.00,0.00,0.00,60,60,0.00,2024-12-31,2025-01-01,Opening migration as at 2024-12-31; historical cost/depreciation data not provided; prefilled with zero financial values pending finance sign-off
