source_sheet,source_row,asset_number,asset_name,description,category_name,location_name,department,serial_number,model,manufacturer,quantity,condition_note,migration_date,acquisition_date,in_service_date,acquisition_cost,accumulated_depreciation,net_book_value,depreciation_method,useful_life_months,remaining_life_months,residual_value,currency_code,status,assumption_flag,assumption_note
SUMMARY REPORT SHEET,2,Dotmac/OE/Dt001,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Facility,8CC9491MCH,HP  20-C412NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,3,Dotmac/OE/Dt002,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Facility,8CC9491MCM,HP  20-C412NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,4,Dotmac/OE/Dt003,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Store,YJ01AQW6,LENOVO V130-201GM,LENOVO,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,5,Dotmac/OE/Dt004,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Store,8CC9491MCD,HP 20-C412NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,6,Dotmac/OE/Dt005,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,Store,8CC9491M9W,HP 20-C412NH,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,7,Dotmac/OE/Dt006,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 1st Floor",SCC9491MBF,HP  20-c412nh,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,8,Dotmac/OE/Dt007,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 1st Floor",J00QR8Z,LENOVO  V130-201GM,LENOVO,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,9,Dotmac/OE/Dt008,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 1st Floor",8CC2251GVQ,HP 20-c412nh,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,10,Dotmac/OE/Dt009,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 1st Floor",8CC9491M90,HP  20-c412nh,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,11,Dotmac/OE/Dt010,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 1st Floor",8CC85010KF,HP 24-XA0057C,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,12,Dotmac/OE/Dt011,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 1st Floor",8CC8352DPW,HP  24-XA0057C,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,13,Dotmac/OE/Dt012,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 1st Floor",YJ018VJ1,LENOVO  V130-201GM,LENOVO,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,14,Dotmac/OE/Dt013,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 1st Floor",8CC2251GTL,HP 24-XA0057C,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
SUMMARY REPORT SHEET,15,Dotmac/OE/Dt014,All in One Desktop,All in One Desktop,ICT Equipment,Head Office.,"Open Office, 1st Floor",8CC2251GTW,HP 24-cb1004ne,HP,1,"Good, in use.",2024-12-31,,,,,,STRAIGHT_LINE,,,0,NGN,ACTIVE,YES,Opening migration as at 2024-12-31; historical cost/depreciation data not provided
