asset_number,asset_name,source_sheet,source_row,missing_fields
Dotmac/OE/Dt001,All in One Desktop,SUMMARY REPORT SHEET,2,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt002,All in One Desktop,SUMMARY REPORT SHEET,3,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt003,All in One Desktop,SUMMARY REPORT SHEET,4,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt004,All in One Desktop,SUMMARY REPORT SHEET,5,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt005,All in One Desktop,SUMMARY REPORT SHEET,6,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt006,All in One Desktop,SUMMARY REPORT SHEET,7,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt007,All in One Desktop,SUMMARY REPORT SHEET,8,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt008,All in One Desktop,SUMMARY REPORT SHEET,9,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt009,All in One Desktop,SUMMARY REPORT SHEET,10,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt010,All in One Desktop,SUMMARY REPORT SHEET,11,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt011,All in One Desktop,SUMMARY REPORT SHEET,12,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt012,All in One Desktop,SUMMARY REPORT SHEET,13,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt013,All in One Desktop,SUMMARY REPORT SHEET,14,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt014,All in One Desktop,SUMMARY REPORT SHEET,15,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt015,All in One Desktop,SUMMARY REPORT SHEET,16,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt016,All in One Desktop,SUMMARY REPORT SHEET,17,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt017,All in One Desktop,SUMMARY REPORT SHEET,18,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt018,All in One Desktop,SUMMARY REPORT SHEET,19,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt019,All in One Desktop,SUMMARY REPORT SHEET,20,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt020,All in One Desktop,SUMMARY REPORT SHEET,21,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt021,All in One Desktop,SUMMARY REPORT SHEET,23,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt022,All in One Desktop,SUMMARY REPORT SHEET,24,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Lt001,Laptop,SUMMARY REPORT SHEET,25,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt023,All in One Desktop,SUMMARY REPORT SHEET,26,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
Dotmac/OE/Dt024,All in One Desktop,SUMMARY REPORT SHEET,27,acquisition_date; acquisition_cost; accumulated_depreciation; net_book_value; useful_life_months; remaining_life_months
