file_item_name,item_code,item_name,item_id,target_quantity,current_transaction_on_hand,transaction_adjustment,serial_count_from_file,serial_count_updated,track_serial_numbers,source_rows
2 Core FOC,2Core FOC,2Core FOC,17023b64-c785-4137-b26d-4e2f179a89ad,10640,2070.000000,8570.000000,0,0,False,1
8 Core FOC,8Core FOC,8Core FOC,e6adcd2d-6610-42ba-bd35-3009706d43d6,7047,51.900000,6995.100000,0,0,False,1
Mikrotic 80km,Mikrotic DDM SFP 80Km,Mikrotic DDM SFP 80Km,0526931b-3edc-4400-b0cd-699ed90ece04,3,0,3,0,0,False,1
Mikrotic 10G DDM 10km,Mikrotic 10G DDM 10Km,Mikrotic 10G DDM 10Km,4318d3cb-2655-4ba4-8475-cdfe4ab7b7ea,1,0,1,0,0,False,1
Mikrotic 20km,Mikrotic DDM SFP 20Km,Mikrotic DDM SFP 20Km,1dbceed3-6249-4402-8b45-e7e6305f2cce,1,0,1,0,0,False,1
Dell DMC SFP + SR,Dell SFP-SR,Dell SFP-SR,f7a5e6f1-1110-4b7f-9e64-07b741e7f389,1,1.000000,0.000000,0,0,False,1
Huawei 10km,SFP- Hauwei 10G-10Km,SFP- Hauwei 10G-10Km,0b49791a-dbb8-4b11-b1db-59e2b8428e4a,1,0.000000,1.000000,0,0,False,1
Rocket Prism-5AC-GEN2,Rocket Prism -5AC-Gen2,Rocket Prism -5AC-Gen2,7e1b8c8f-df3c-4c18-bf09-3602eb735ec9,6,2.000000,4.000000,3,3,True,6
Electrical Box,Electrical Box,Electrical Box,19295153-c684-4209-bd96-eb3b07a6b030,0,0.000000,0.000000,0,0,False,1
Airfiber 5XHD,AirFiber-AF-5XHD,AirFiber-AF-5XHD,5ffecf11-ae24-4543-9874-7f94f5007060,8,0.000000,8.000000,8,8,True,8
POE ADAPTER 24V,PoE Adapter 24V,PoE Adapter 24V,93dca5c7-82e6-49d4-887d-cf9b9472a065,1,1.000000,0.000000,0,0,False,1
ADAPTER - Blue,ADAPTER - Blue,ADAPTER - Blue,04e8b1a2-686e-4615-8fbf-e3bb833a4af4,1406,1545.000000,-139.000000,0,0,False,1
ADAPTER - Green,ADAPTER - Green,ADAPTER - Green,7d5b26bb-d314-48e1-bde5-3df600c153ae,3361,3275.000000,86.000000,0,0,False,1
LTU ROCKET,LTU Rocket,LTU Rocket,e15ca25e-1fab-4cee-a229-e23071913503,12,6.000000,6.000000,12,0,False,12
